ID,Name,Level,Rating,Tags,link
scp-001,Awaiting De-classification [Blocked],No_official_classes_included_in_tags,323,['meta'],https://scp-wiki.wikidot.com/scp-001
scp-002,"The ""Living"" Room",Euclid,1976,"['alive', 'featured', 'structure', 'transfiguration']",https://scp-wiki.wikidot.com/scp-002
scp-003,Biological Motherboard,Euclid,889,"['alive', 'biological', 'computer', 'director-moose', 'featured', 'k-class-scenario', 'mind-affecting', 'radioactive', 'rewrite', 'telepathic', 'thermal', 'transfiguration']",https://scp-wiki.wikidot.com/scp-003
scp-004,The 12 Rusty Keys and the Door,Euclid,1232,"['mind-affecting', 'portal', 'spatial', 'structure', 'temporal', 'tool']",https://scp-wiki.wikidot.com/scp-004
scp-005,Skeleton Key,Safe,785,['adaptive'],https://scp-wiki.wikidot.com/scp-005
scp-006,Fountain of Youth,Safe,744,"['liquid', 'location', 'rewrite', 'self-repairing']",https://scp-wiki.wikidot.com/scp-006
scp-007,Abdominal Planet,Euclid,641,"['alive', 'humanoid', 'miniature', 'planet']",https://scp-wiki.wikidot.com/scp-007
scp-008,Zombie Plague,Euclid,1027,"['alive', 'biohazard', 'blood', 'contagion', 'reanimation', 'transfiguration']",https://scp-wiki.wikidot.com/scp-008
scp-009,Red Ice,Euclid,934,"['liquid', 'thermal']",https://scp-wiki.wikidot.com/scp-009
scp-010,Collars of Control,Safe,222,"['artifact', 'compulsion', 'electronic', 'mind-affecting']",https://scp-wiki.wikidot.com/scp-010
scp-011,Sentient Civil War Memorial Statue,Safe,763,"['autonomous', 'humanoid', 'military', 'sapient', 'sculpture']",https://scp-wiki.wikidot.com/scp-011
scp-012,A Bad Composition,Euclid,881,"['blood', 'cognitohazard', 'document', 'mind-affecting', 'musical', 'visual']",https://scp-wiki.wikidot.com/scp-012
scp-013,Blue Lady Cigarettes,Safe,624,"['artifact', 'mind-affecting', 'sensory']",https://scp-wiki.wikidot.com/scp-013
scp-014,The Concrete Man,Safe,829,"['humanoid', 'sapient']",https://scp-wiki.wikidot.com/scp-014
scp-015,Pipe Nightmare,Euclid,1151,"['autonomous', 'structure']",https://scp-wiki.wikidot.com/scp-015
scp-016,Sentient Micro-Organism,Keter,775,"['alive', 'biohazard', 'blood', 'contagion', 'sapient', 'species', 'transfiguration']",https://scp-wiki.wikidot.com/scp-016
scp-017,Shadow Person,Keter,923,"['hostile', 'humanoid', 'light', 'shadow']",https://scp-wiki.wikidot.com/scp-017
scp-018,Super Ball,Euclid,488,"['ectoentropic', 'entropic', 'sphere', 'toy']",https://scp-wiki.wikidot.com/scp-018
scp-019,The Monster Pot,Keter,537,"['adaptive', 'alive', 'ectoentropic', 'entropic', 'hostile']",https://scp-wiki.wikidot.com/scp-019
scp-020,Unseen Mold,Keter,585,"['alive', 'biohazard', 'contagion', 'fungus', 'mind-affecting', 'sensory', 'species']",https://scp-wiki.wikidot.com/scp-020
scp-021,Skin Wyrm,Safe,638,"['alive', 'artistic', 'parasitic', 'reptile']",https://scp-wiki.wikidot.com/scp-021
scp-022,The Morgue,Euclid,746,"['autonomous', 'building', 'cadaver', 'humanoid', 'reanimation']",https://scp-wiki.wikidot.com/scp-022
scp-023,Black Shuck,Euclid,566,"['alive', 'animal', 'canine', 'cognitohazard', 'fire', 'intangible', 'sun', 'teleportation', 'visual']",https://scp-wiki.wikidot.com/scp-023
scp-024,Game Show of Death,Euclid,847,"['ectoentropic', 'entropic', 'game', 'media', 'structure']",https://scp-wiki.wikidot.com/scp-024
scp-025,A Well-Worn Wardrobe,Safe,473,['predictive'],https://scp-wiki.wikidot.com/scp-025
scp-026,Afterschool Retention,Euclid,582,"['building', 'humanoid', 'mind-affecting', 'sleep']",https://scp-wiki.wikidot.com/scp-026
scp-027,The Vermin God,Euclid,561,"['alive', 'animal', 'compulsion', 'contagion', 'humanoid', 'insect', 'rodent']",https://scp-wiki.wikidot.com/scp-027
scp-028,Knowledge,Safe,1237,"['event-featured', 'featured', 'knowledge', 'location', 'mind-affecting']",https://scp-wiki.wikidot.com/scp-028
scp-029,Daughter of Shadows,Keter,443,"['alive', 'compulsion', 'hostile', 'humanoid', 'light', 'mind-affecting']",https://scp-wiki.wikidot.com/scp-029
scp-030,The Homunculus,Safe,529,"['autonomous', 'biological', 'humanoid', 'knowledge', 'language', 'light', 'sapient']",https://scp-wiki.wikidot.com/scp-030
scp-031,What is Love?,Euclid,126,"['alive', 'amorphous', 'cognitohazard', 'hallucination', 'maria-jones', 'meta', 'metamorphic', 'mimetic', 'parasitic', 'predatory', 'rewrite', 'sensory', 'visual']",https://scp-wiki.wikidot.com/scp-031
scp-032,Brothers' Bride,Euclid,461,"['autonomous', 'biohazard', 'humanoid', 'sapient']",https://scp-wiki.wikidot.com/scp-032
scp-033,The Missing Number,Euclid,929,['mathematical'],https://scp-wiki.wikidot.com/scp-033
scp-034,Obsidian Ritual Knife,Safe,378,"['mimetic', 'tool', 'transfiguration', 'weapon']",https://scp-wiki.wikidot.com/scp-034
scp-035,Possessive Mask,Keter,1959,"['blood', 'cognitohazard', 'ectoentropic', 'entropic', 'mind-affecting', 'sapient', 'telepathic', 'visual']",https://scp-wiki.wikidot.com/scp-035
scp-036,The Reincarnation Pilgrimage of the Yazidi (Kiras Guhorîn),Safe,244,"['humanoid', 'location', 'religious', 'vehicle']",https://scp-wiki.wikidot.com/scp-036
scp-037,Dwarf Star,Euclid,240,"['airborne', 'rewrite', 'sun']",https://scp-wiki.wikidot.com/scp-037
scp-038,The Everything Tree,Safe,633,"['alive', 'meta', 'metamorphic', 'mimetic', 'plant', 'sculpture', 'the-sculpture', 'tree']",https://scp-wiki.wikidot.com/scp-038
scp-039,Monkey Brain,Euclid,141,"['alive', 'animal', 'humanoid', 'primate', 'rewrite', 'sapient', 'species']",https://scp-wiki.wikidot.com/scp-039
scp-040,Evolution's Child,Esoteric-class,605,"['alive', 'ectoentropic', 'eric', 'entropic', 'humanoid', 'rewrite', 'sapient', 'transfiguration']",https://scp-wiki.wikidot.com/scp-040
scp-041,Thought-Broadcasting Patient,Safe,264,"['alive', 'humanoid', 'sapient', 'telepathic']",https://scp-wiki.wikidot.com/scp-041
scp-042,A Formerly Winged Horse,Safe,203,"['alive', 'animal', 'equine', 'mind-affecting', 'rewrite']",https://scp-wiki.wikidot.com/scp-042
scp-043,The Beatle,Safe,342,"['knowledge', 'media', 'sapient']",https://scp-wiki.wikidot.com/scp-043
scp-044,World War II Era Molecular-Fission Cannon,Safe,358,"['ectoentropic', 'entropic', 'mechanical', 'military', 'the-administrator', 'weapon']",https://scp-wiki.wikidot.com/scp-044
scp-045,Atmospheric Converter,Safe,178,"['chemical', 'ectoentropic', 'entropic', 'extradimensional', 'geological', 'liquid', 'polyhedral', 'rewrite']",https://scp-wiki.wikidot.com/scp-045
scp-046,"""Predatory"" Holly Bush",Euclid,349,"['biological', 'compulsion', 'hallucination', 'infohazard', 'plant', 'predatory']",https://scp-wiki.wikidot.com/scp-046
scp-047,Microbial Mutagen,Keter,206,"['artifact', 'contagion', 'gaseous', 'transfiguration']",https://scp-wiki.wikidot.com/scp-047
scp-048,The Cursed SCP Number,Esoteric-class,1510,"['eric', 'mathematical', 'meta', 'probability']",https://scp-wiki.wikidot.com/scp-048
scp-049,Plague Doctor,Euclid,4457,"['audio', 'biological', 'chemical', 'co-authored', 'contagion', 'humanoid', 'reanimation', 'rewrite', 'sapient', 'tactile']",https://scp-wiki.wikidot.com/scp-049
scp-050,To The Cleverest,Euclid,477,"['indestructible', 'primate', 'sapient', 'sculpture']",https://scp-wiki.wikidot.com/scp-050
